id;region_id;address_district_id;address_settlement_type_id;name;kato_id;parent_name;id;resource;id;kato_version;address_settlement_id;kato_id;id;region_id;address_district_type_id;name;kato_id;id;resource;id;kato_version;address_district_id;kato_id;id;resource;region_type_id;code;kato_id;id;resource;id;kato_version;region_id;kato_id
1038;1007;283;1;Риддер;632410000;;1;settlement.type.city;8229;1;1038;632410000;283;1007;7;Риддер;632400000;7;district.type.ga;439;1;283;632400000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
1039;1007;284;1;Семей;632810000;;1;settlement.type.city;8230;1;1039;632810000;284;1007;7;Семей;632800000;7;district.type.ga;440;1;284;632800000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
1050;1004;100;41;Красный Яр;111033100;;41;settlement.type.selo;8231;1;1050;111033100;100;1004;7;Кокшетау;111000000;7;district.type.ga;256;1;100;111000000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1051;1004;100;41;Кызылжулдуз;111033300;;41;settlement.type.selo;8232;1;1051;111033300;100;1004;7;Кокшетау;111000000;7;district.type.ga;256;1;100;111000000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1052;1004;100;31;Станционный;111037100;;31;settlement.type.poselok;8233;1;1052;111037100;100;1004;7;Кокшетау;111000000;7;district.type.ga;256;1;100;111000000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1053;1004;101;31;Аксу;111833100;;31;settlement.type.poselok;8234;1;1053;111833100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1054;1004;101;31;Бестобе;111837100;;31;settlement.type.poselok;8235;1;1054;111837100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1055;1004;101;41;Подхоз;111837200;;41;settlement.type.selo;8236;1;1055;111837000;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1056;1004;101;31;Заводской;111841100;;31;settlement.type.poselok;8237;1;1056;111841100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1057;1004;101;41;Карабулак;111843100;;41;settlement.type.selo;8238;1;1057;111843100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1058;1004;101;31;Шантобе;111845100;;31;settlement.type.poselok;8239;1;1058;111845100;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1059;1004;101;41;Hовокронштадка;111845200;;41;settlement.type.selo;8240;1;1059;111845200;101;1004;7;Степногорск;111800000;7;district.type.ga;257;1;101;111800000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1060;1004;102;1;Акколь;113220100;;1;settlement.type.city;8241;1;1060;113220100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1062;1004;102;41;Ерназар;113220300;;41;settlement.type.selo;8242;1;1062;113220300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1063;1004;102;41;Радовка;113220400;;41;settlement.type.selo;8243;1;1063;113220400;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1064;1004;102;41;Степногорское;113235100;;41;settlement.type.selo;8244;1;1064;111847100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1065;1004;102;41;Богембай;113235300;;41;settlement.type.selo;8245;1;1065;111847300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1066;1004;102;6;Азат;113239100;;6;settlement.type.aul;8246;1;1066;113239100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1067;1004;102;6;Кына;113241100;;6;settlement.type.aul;8247;1;1067;113241100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1068;1004;102;6;Карасай;113241200;;6;settlement.type.aul;8248;1;1068;113241200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1069;1004;102;41;Минское;113241300;;41;settlement.type.selo;8249;1;1069;113241300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1070;1004;102;6;Домбыралы;113243100;;6;settlement.type.aul;8250;1;1070;113243100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1071;1004;102;41;Кенес;113243200;;41;settlement.type.selo;8251;1;1071;113243200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1072;1004;102;41;Красный Горняк;113243300;;41;settlement.type.selo;8252;1;1072;113243300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1073;1004;102;41;Малый Барап;113243400;;41;settlement.type.selo;8253;1;1073;113243400;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1074;1004;102;41;Hаумовка;113247100;;41;settlement.type.selo;8254;1;1074;113247100;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1075;1004;102;41;Виноградовка;113247200;;41;settlement.type.selo;8255;1;1075;113247200;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
1076;1004;102;41;Орнек;113247300;;41;settlement.type.selo;8256;1;1076;113247300;102;1004;3;Аккольский;113200000;3;district.type.raion;258;1;102;113200000;1004;region.kz.akmolinckaia;1;110000000;110000000;1;region.type.obl;35;1;1004;110000000
